x,y,z
8.692060,8.567491,27.415517
8.679603,8.532620,27.429128
8.664905,8.496843,27.438282
8.648099,8.460547,27.442838
8.629344,8.424126,27.442705
8.608822,8.387975,27.437847
8.586737,8.352490,27.428277
8.563313,8.318058,27.414062
8.538787,8.285053,27.395322
8.513414,8.253835,27.372223
8.487456,8.224742,27.344980
8.461184,8.198089,27.313852
8.434875,8.174164,27.279138
8.408804,8.153226,27.241175
8.383246,8.135502,27.200332
8.358472,8.121185,27.157009
8.334743,8.110434,27.111629
8.312312,8.103373,27.064636
8.291418,8.100090,27.016490
8.272285,8.100636,26.967663
8.255120,8.105028,26.918633
8.240111,8.113245,26.869883
8.227425,8.125236,26.821893
8.217206,8.140911,26.775140
8.209576,8.160152,26.730092
8.204634,8.182804,26.687203
8.202451,8.208686,26.646914
8.203074,8.237586,26.609643
8.206526,8.269262,26.575787
8.212799,8.303448,26.545719
8.221864,8.339850,26.519779
8.233663,8.378154,26.498276
8.248112,8.418019,26.481484
8.265102,8.459088,26.469639
8.284501,8.500983,26.462934
8.306149,8.543311,26.461520
8.329865,8.585667,26.465499
8.355446,8.627632,26.474927
8.382664,8.668782,26.489806
8.411276,8.708689,26.510086
8.441017,8.746923,26.535662
8.471608,8.783058,26.566374
8.502753,8.816679,26.602004
8.534145,8.847380,26.642277
8.565469,8.874777,26.686865
8.596400,8.898505,26.735381
8.626610,8.918232,26.787389
8.655772,8.933657,26.842400
8.683561,8.944519,26.899879
8.709657,8.950604,26.959252
8.733751,8.951743,27.019905
8.755551,8.947825,27.081198
8.774778,8.938793,27.142464
8.791180,8.924652,27.203024
8.804527,8.905469,27.262192
8.814621,8.881375,27.319285
8.821296,8.852563,27.373630
8.824423,8.819292,27.424577
8.823910,8.781877,27.471507
8.819707,8.740692,27.513838
8.811805,8.696163,27.551039
8.800241,8.648763,27.582634
8.785093,8.599004,27.608209
8.766484,8.547433,27.627420
8.744579,8.494621,27.639999
8.719583,8.441156,27.645751
8.691741,8.387633,27.644564
8.661330,8.334650,27.636407
8.628662,8.282796,27.621328
8.594075,8.232642,27.599454
8.557932,8.184739,27.570988
8.520613,8.139606,27.536206
8.482512,8.097728,27.495451
8.444034,8.059549,27.449130
8.405585,8.025469,27.397704
8.367574,7.995841,27.341686
8.330400,7.970968,27.281633
8.294457,7.951101,27.218136
8.260121,7.936441,27.151820
8.227753,7.927138,27.083331
8.197692,7.923287,27.013334
8.170251,7.924938,26.942505
8.145720,7.932089,26.871526
8.124357,7.944690,26.801077
8.106390,7.962648,26.731837
8.092016,7.985824,26.664471
8.081397,8.014037,26.599633
8.074661,8.047066,26.537956
8.071901,8.084650,26.480050
8.073176,8.126493,26.426500
8.078508,8.172259,26.377860
8.087883,8.221581,26.334647
8.101253,8.274057,26.297341
8.118533,8.329253,26.266381
8.139605,8.386705,26.242158
8.164315,8.445920,26.225012
8.192476,8.506376,26.215229
8.223866,8.567529,26.213039
8.258232,8.628811,26.218607
8.295290,8.689635,26.232032
8.334724,8.749396,26.253341
8.376192,8.807482,26.282490
8.419321,8.863269,26.319355
8.463715,8.916135,26.363733
8.508957,8.965463,26.415336
8.554608,9.010646,26.473795
8.600212,9.051101,26.538652
8.645301,9.086269,26.609369
8.689397,9.115630,26.685321
8.732021,9.138712,26.765806
8.772690,9.155095,26.850045
8.810930,9.164426,26.937192
8.846280,9.166425,27.026338
8.878294,9.160893,27.116523
8.906554,9.147722,27.206747
8.930671,9.126896,27.295980
8.950294,9.098501,27.383181
8.965114,9.062723,27.467305
8.974875,9.019853,27.547327
8.979373,8.970281,27.622252
8.978464,8.914498,27.691134
8.972067,8.853084,27.753089
8.960169,8.786706,27.807311
8.942823,8.716104,27.853086
8.920151,8.642082,27.889803
8.892344,8.565491,27.916962
